Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Revenue
ORD0035,2025-12-03,Laptop,Electronics,South,8,55000,440000
ORD0036,2025-06-27,Printer,Office,East,4,15000,60000
ORD0037,2025-01-03,Keyboard,Accessories,North,4,1500,6000
ORD0038,2025-09-06,Keyboard,Accessories,South,2,1500,3000
ORD0039,2025-10-21,Laptop,Electronics,East,8,55000,440000
ORD0040,2025-02-15,Mouse,Accessories,East,3,800,2400
ORD0041,2025-01-27,Laptop,Electronics,South,9,55000,495000
ORD0042,2025-11-03,Mobile,Electronics,South,3,25000,75000
ORD0043,2025-08-11,Printer,Office,West,1,15000,15000
ORD0044,2025-10-07,Mobile,Electronics,East,6,25000,150000
ORD0045,2025-09-13,Headphones,Accessories,East,8,2000,16000
ORD0046,2025-08-20,Mouse,Accessories,West,10,800,8000
ORD0047,2025-06-22,Printer,Office,East,1,15000,15000
ORD0048,2025-10-03,Desk,Furniture,East,6,10000,60000
ORD0049,2025-03-06,Laptop,Electronics,South,2,55000,110000
ORD0050,2025-05-04,Laptop,Electronics,South,5,55000,275000
ORD0051,2025-07-11,Office Chair,Furniture,West,5,8000,40000
ORD0052,2025-01-28,Desk,Furniture,East,6,10000,60000
ORD0053,2025-12-18,Headphones,Accessories,East,3,2000,6000
ORD0054,2025-08-04,Mouse,Accessories,East,6,800,4800
ORD0055,2025-06-19,Tablet,Electronics,South,5,18000,90000
ORD0056,2025-08-05,Headphones,Accessories,South,3,2000,6000
ORD0057,2025-05-14,Headphones,Accessories,East,9,2000,18000
ORD0058,2025-04-20,Mouse,Accessories,East,7,800,5600
ORD0059,2025-07-20,Office Chair,Furniture,North,6,8000,48000
ORD0060,2025-03-22,Mouse,Accessories,South,9,800,7200
ORD0061,2025-05-12,Office Chair,Furniture,West,7,8000,56000
ORD0062,2025-02-23,Desk,Furniture,West,6,10000,60000
ORD0063,2025-07-13,Keyboard,Accessories,East,8,1500,12000
ORD0064,2025-01-01,Headphones,Accessories,East,5,2000,10000
ORD0065,2025-09-08,Keyboard,Accessories,South,1,1500,1500
ORD0066,2025-02-04,Laptop,Electronics,North,5,55000,275000
ORD0067,2025-07-25,Desk,Furniture,North,1,10000,10000
ORD0068,2025-02-03,Monitor,Electronics,South,10,12000,120000
ORD0069,2025-02-06,Monitor,Electronics,South,8,12000,96000
ORD0070,2025-11-24,Office Chair,Furniture,North,3,8000,24000
ORD0071,2025-07-19,Mouse,Accessories,West,1,800,800
ORD0072,2025-11-03,Office Chair,Furniture,West,2,8000,16000
ORD0073,2025-10-18,Tablet,Electronics,West,8,18000,144000
ORD0074,2025-07-22,Monitor,Electronics,North,3,12000,36000
ORD0075,2025-07-01,Office Chair,Furniture,South,9,8000,72000
ORD0076,2025-04-01,Headphones,Accessories,South,3,2000,6000
ORD0077,2025-03-04,Office Chair,Furniture,East,7,8000,56000
ORD0078,2025-12-08,Desk,Furniture,East,1,10000,10000
ORD0079,2025-08-11,Mobile,Electronics,East,3,25000,75000
ORD0080,2025-03-28,Printer,Office,South,5,15000,75000
ORD0081,2025-12-19,Laptop,Electronics,East,1,55000,55000
ORD0082,2025-02-19,Printer,Office,North,7,15000,105000
ORD0083,2025-11-27,Tablet,Electronics,North,5,18000,90000
ORD0084,2025-11-24,Headphones,Accessories,West,6,2000,12000
ORD0085,2025-02-07,Office Chair,Furniture,South,7,8000,56000
ORD0086,2025-03-26,Desk,Furniture,North,4,10000,40000
ORD0087,2025-01-22,Monitor,Electronics,North,9,12000,108000
ORD0088,2025-08-28,Monitor,Electronics,South,10,12000,120000
ORD0089,2025-05-08,Headphones,Accessories,West,1,2000,2000
ORD0090,2025-11-10,Printer,Office,South,9,15000,135000
ORD0091,2025-02-02,Keyboard,Accessories,South,7,1500,10500
ORD0092,2025-05-13,Headphones,Accessories,West,7,2000,14000
ORD0093,2025-02-15,Office Chair,Furniture,West,6,8000,48000
ORD0094,2025-06-20,Office Chair,Furniture,South,5,8000,40000
ORD0095,2025-06-26,Desk,Furniture,East,8,10000,80000
ORD0096,2025-05-18,Mouse,Accessories,West,6,800,4800
ORD0097,2025-11-14,Laptop,Electronics,North,1,55000,55000
ORD0098,2025-03-15,Office Chair,Furniture,West,10,8000,80000
ORD0099,2025-03-14,Headphones,Accessories,South,2,2000,4000
ORD0100,2025-05-03,Laptop,Electronics,North,3,55000,165000
ORD0101,2025-05-17,Keyboard,Accessories,South,8,1500,12000
ORD0102,2025-11-27,Monitor,Electronics,West,3,12000,36000
ORD0103,2025-01-23,Headphones,Accessories,North,3,2000,6000
ORD0104,2025-12-30,Monitor,Electronics,West,5,12000,60000
ORD0105,2025-06-19,Laptop,Electronics,North,6,55000,330000
ORD0106,2025-10-20,Tablet,Electronics,South,3,18000,54000
ORD0107,2025-11-17,Headphones,Accessories,South,2,2000,4000
ORD0108,2025-04-16,Headphones,Accessories,East,6,2000,12000
ORD0109,2025-12-05,Keyboard,Accessories,South,2,1500,3000
ORD0110,2025-01-11,Headphones,Accessories,South,2,2000,4000
ORD0111,2025-10-08,Tablet,Electronics,East,2,18000,36000
ORD0112,2025-10-20,Monitor,Electronics,West,4,12000,48000
ORD0113,2025-12-12,Monitor,Electronics,South,4,12000,48000
ORD0114,2025-11-26,Tablet,Electronics,West,8,18000,144000
ORD0115,2025-07-29,Keyboard,Accessories,North,2,1500,3000
ORD0116,2025-06-17,Mobile,Electronics,South,2,25000,50000
ORD0117,2025-05-29,Mobile,Electronics,South,1,25000,25000
ORD0118,2025-10-19,Laptop,Electronics,South,5,55000,275000
ORD0119,2025-09-26,Headphones,Accessories,South,6,2000,12000
ORD0120,2025-02-01,Headphones,Accessories,South,4,2000,8000
ORD0121,2025-03-17,Mobile,Electronics,South,7,25000,175000
ORD0122,2025-02-15,Mobile,Electronics,East,3,25000,75000
ORD0123,2025-11-09,Mobile,Electronics,East,8,25000,200000
ORD0124,2025-11-13,Laptop,Electronics,North,8,55000,440000
ORD0125,2025-05-23,Tablet,Electronics,West,4,18000,72000
ORD0126,2025-05-01,Tablet,Electronics,North,10,18000,180000
ORD0127,2025-08-31,Keyboard,Accessories,South,5,1500,7500
ORD0128,2025-02-01,Mobile,Electronics,East,8,25000,200000
ORD0129,2025-05-07,Mouse,Accessories,North,10,800,8000
ORD0130,2025-05-17,Tablet,Electronics,North,1,18000,18000
ORD0131,2025-10-28,Office Chair,Furniture,West,6,8000,48000
ORD0132,2025-09-22,Tablet,Electronics,West,10,18000,180000
ORD0133,2025-07-14,Keyboard,Accessories,North,5,1500,7500
ORD0134,2025-08-01,Keyboard,Accessories,West,7,1500,10500
ORD0135,2025-02-06,Printer,Office,West,10,15000,150000
ORD0136,2025-06-06,Laptop,Electronics,East,9,55000,495000
ORD0137,2025-11-17,Mouse,Accessories,West,1,800,800
ORD0138,2025-07-26,Monitor,Electronics,North,7,12000,84000
ORD0139,2025-04-16,Headphones,Accessories,West,2,2000,4000
ORD0140,2025-09-17,Mobile,Electronics,South,5,25000,125000
ORD0141,2025-12-19,Tablet,Electronics,North,7,18000,126000
ORD0142,2025-08-25,Mouse,Accessories,South,6,800,4800
ORD0143,2025-08-13,Keyboard,Accessories,East,1,1500,1500
ORD0144,2025-05-13,Headphones,Accessories,North,8,2000,16000
ORD0145,2025-01-27,Desk,Furniture,North,2,10000,20000
ORD0146,2025-07-15,Printer,Office,North,7,15000,105000
ORD0147,2025-08-19,Tablet,Electronics,North,6,18000,108000
ORD0148,2025-06-12,Tablet,Electronics,South,8,18000,144000
ORD0149,2025-06-30,Printer,Office,North,5,15000,75000
ORD0150,2025-08-11,Printer,Office,North,10,15000,150000
ORD0151,2025-05-16,Keyboard,Accessories,East,2,1500,3000
ORD0152,2025-03-01,Printer,Office,North,9,15000,135000
ORD0153,2025-10-16,Monitor,Electronics,West,2,12000,24000
ORD0154,2025-07-10,Tablet,Electronics,South,5,18000,90000
ORD0155,2025-03-17,Mobile,Electronics,South,1,25000,25000
ORD0156,2025-09-09,Printer,Office,North,6,15000,90000
ORD0157,2025-06-29,Monitor,Electronics,South,4,12000,48000
ORD0158,2025-03-22,Keyboard,Accessories,South,2,1500,3000
ORD0159,2025-05-15,Mouse,Accessories,East,6,800,4800
ORD0160,2025-03-14,Keyboard,Accessories,South,3,1500,4500
ORD0161,2025-08-26,Mobile,Electronics,East,10,25000,250000
ORD0162,2025-09-25,Keyboard,Accessories,South,4,1500,6000
ORD0163,2025-12-03,Keyboard,Accessories,West,6,1500,9000
ORD0164,2025-10-15,Mobile,Electronics,North,5,25000,125000
ORD0165,2025-09-22,Printer,Office,North,4,15000,60000
ORD0166,2025-05-16,Mouse,Accessories,North,4,800,3200
ORD0167,2025-10-21,Office Chair,Furniture,East,10,8000,80000
ORD0168,2025-02-25,Monitor,Electronics,South,6,12000,72000
ORD0169,2025-08-31,Desk,Furniture,South,5,10000,50000
ORD0170,2025-05-12,Printer,Office,North,5,15000,75000
ORD0171,2025-06-28,Mouse,Accessories,North,4,800,3200
ORD0172,2025-01-12,Printer,Office,South,8,15000,120000
ORD0173,2025-08-09,Tablet,Electronics,South,9,18000,162000
ORD0174,2025-02-24,Printer,Office,South,1,15000,15000
ORD0175,2025-08-30,Tablet,Electronics,North,3,18000,54000
ORD0176,2025-08-04,Headphones,Accessories,East,2,2000,4000
ORD0177,2025-09-04,Printer,Office,West,10,15000,150000
ORD0178,2025-06-20,Office Chair,Furniture,North,6,8000,48000
ORD0179,2025-02-17,Laptop,Electronics,South,9,55000,495000
ORD0180,2025-03-20,Monitor,Electronics,North,7,12000,84000
ORD0181,2025-03-14,Monitor,Electronics,West,2,12000,24000
ORD0182,2025-09-20,Printer,Office,North,4,15000,60000
ORD0183,2025-01-07,Desk,Furniture,East,6,10000,60000
ORD0184,2025-02-20,Office Chair,Furniture,West,10,8000,80000
ORD0185,2025-08-10,Headphones,Accessories,North,4,2000,8000
ORD0186,2025-08-17,Mouse,Accessories,West,2,800,1600
ORD0187,2025-12-11,Office Chair,Furniture,North,5,8000,40000
ORD0188,2025-03-13,Tablet,Electronics,North,3,18000,54000
ORD0189,2025-09-09,Headphones,Accessories,West,6,2000,12000
ORD0190,2025-01-11,Laptop,Electronics,East,8,55000,440000
ORD0191,2025-11-15,Laptop,Electronics,East,1,55000,55000
ORD0192,2025-02-16,Tablet,Electronics,South,4,18000,72000
ORD0193,2025-10-01,Printer,Office,South,1,15000,15000
ORD0194,2025-10-04,Mobile,Electronics,North,5,25000,125000
ORD0195,2025-04-22,Printer,Office,North,2,15000,30000
ORD0196,2025-08-28,Headphones,Accessories,West,1,2000,2000
ORD0197,2025-05-07,Mouse,Accessories,East,3,800,2400
ORD0198,2025-07-03,Mouse,Accessories,North,8,800,6400
ORD0199,2025-09-13,Laptop,Electronics,South,3,55000,165000
ORD0200,2025-07-04,Printer,Office,South,10,15000,150000
